Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2017-18 
CALPADS Fall 1 
Certification Status"
2017-2018,45,70136,4530218,Shasta,Shasta Union High,Freedom High,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,29,24,0.827586207,27,0.931034483,29,24,0.827586207,27,0.931034483,Y
2017-2018,45,70136,4530267,Shasta,Shasta Union High,Shasta Charter Academy,High School District,High Schools (Public),Traditional,N/A,Yes,0256,Directly funded,N,9,12,241,73,0.302904564,74,0.307053942,225,68,0.302222222,69,0.306666667,Y
2017-2018,45,70136,4530309,Shasta,Shasta Union High,North State Independence High,High School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,110,63,0.572727273,65,0.590909091,103,56,0.54368932,58,0.563106796,Y
2017-2018,45,70136,4532750,Shasta,Shasta Union High,Enterprise High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1188,578,0.486531987,620,0.521885522,1152,562,0.487847222,602,0.522569444,Y
2017-2018,45,70136,4537304,Shasta,Shasta Union High,Shasta High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1446,494,0.341632089,540,0.373443983,1417,485,0.342272406,531,0.374735356,Y
2017-2018,45,75267,4531901,Shasta,Gateway Unified,Central Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,610,365,0.598360656,413,0.67704918,592,351,0.592905405,398,0.672297297,Y
2017-2018,46,70177,4630034,Sierra,Sierra-Plumas Joint Unified,Sierra Pass (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,3,3,1,3,1,2,2,1,2,1,Y
2017-2018,47,70250,4732707,Siskiyou,Dunsmuir Joint Union High,Dunsmuir High,High School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,63,43,0.682539683,43,0.682539683,58,40,0.689655172,40,0.689655172,Y
2017-2018,47,70466,4730057,Siskiyou,Siskiyou Union High,Jefferson High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,9,6,0.666666667,7,0.777777778,7,5,0.714285714,6,0.857142857,Y
2017-2018,47,70466,4734356,Siskiyou,Siskiyou Union High,Happy Camp High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,60,31,0.516666667,36,0.6,56,29,0.517857143,34,0.607142857,Y
2017-2018,47,70466,4734901,Siskiyou,Siskiyou Union High,McCloud High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,16,4,0.25,7,0.4375,15,4,0.266666667,7,0.466666667,Y
2017-2018,47,70466,4735403,Siskiyou,Siskiyou Union High,Mt. Shasta High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,296,114,0.385135135,137,0.462837838,281,109,0.387900356,129,0.459074733,Y
2017-2018,47,70466,4738753,Siskiyou,Siskiyou Union High,Weed High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,161,106,0.658385093,124,0.770186335,153,98,0.640522876,116,0.758169935,Y
2017-2018,47,70516,4730024,Siskiyou,Yreka Union High,Discovery High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,31,20,0.64516129,20,0.64516129,30,20,0.666666667,20,0.666666667,Y
2017-2018,47,70516,4730156,Siskiyou,Yreka Union High,Yreka Union High Community Day,High School District,District Community Day Schools,Community Day School,N/A,No ,N/A,N/A,N,9,12,6,5,0.833333333,5,0.833333333,6,5,0.833333333,5,0.833333333,Y
2017-2018,47,70516,4739207,Siskiyou,Yreka Union High,Yreka High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,575,260,0.452173913,292,0.507826087,556,253,0.455035971,284,0.510791367,Y
2017-2018,47,73684,4731253,Siskiyou,Butte Valley Unified,Butte Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,99,46,0.464646465,46,0.464646465,95,43,0.452631579,43,0.452631579,Y
2017-2018,47,76455,4730107,Siskiyou,Scott Valley Unified,Scott River High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,10,8,0.8,10,1,10,8,0.8,10,1,Y
2017-2018,47,76455,4733309,Siskiyou,Scott Valley Unified,Etna Union High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,197,80,0.406091371,94,0.47715736,187,74,0.395721925,88,0.470588235,Y
2017-2018,48,70524,4830048,Solano,Benicia Unified,Liberty High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,59,24,0.406779661,28,0.474576271,52,23,0.442307692,27,0.519230769,Y
2017-2018,48,70524,4831004,Solano,Benicia Unified,Benicia High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1621,324,0.199876619,374,0.230721777,1579,310,0.196326789,359,0.227359088,Y
2017-2018,48,70532,4832259,Solano,Dixon Unified,Dixon High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1135,450,0.396475771,537,0.473127753,1107,436,0.393857272,521,0.470641373,Y
2017-2018,48,70540,4830170,Solano,Fairfield-Suisun Unified,Angelo Rodriguez High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1838,491,0.267138194,582,0.316648531,1795,472,0.262952646,559,0.311420613,Y
2017-2018,48,70540,4830451,Solano,Fairfield-Suisun Unified,Armijo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2155,1161,0.5387471,1350,0.626450116,2092,1128,0.539196941,1311,0.62667304,Y
2017-2018,48,70540,4833000,Solano,Fairfield-Suisun Unified,Fairfield High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1504,985,0.654920213,1108,0.736702128,1470,960,0.653061224,1082,0.736054422,Y
2017-2018,48,70540,4836003,Solano,Fairfield-Suisun Unified,Sem Yeto Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,395,177,0.448101266,177,0.448101266,357,156,0.43697479,156,0.43697479,Y
2017-2018,48,70565,4830022,Solano,Travis Unified,Travis Education Center,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,87,34,0.390804598,39,0.448275862,79,32,0.405063291,37,0.46835443,Y
2017-2018,48,70565,4838801,Solano,Travis Unified,Vanden High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1744,305,0.174885321,439,0.251720183,1711,305,0.178258328,435,0.254237288,Y
2017-2018,48,70573,4830089,Solano,Vacaville Unified,Will C. Wood High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1667,569,0.341331734,710,0.425914817,1622,550,0.339087546,691,0.426017263,Y
2017-2018,48,70573,4830113,Solano,Vacaville Unified,Elise P. Buckingham Charter Magnet High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0056,Locally funded,N,9,12,502,83,0.165338645,99,0.197211155,491,79,0.16089613,95,0.193482688,Y
2017-2018,48,70573,4833869,Solano,Vacaville Unified,Country High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,158,87,0.550632911,95,0.601265823,101,54,0.534653465,61,0.603960396,Y
2017-2018,48,70573,4837803,Solano,Vacaville Unified,Vacaville High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1913,547,0.285938317,648,0.338734971,1873,532,0.284036305,631,0.336892686,Y
2017-2018,48,70581,4830147,Solano,Vallejo City Unified,Jesse M. Bethel High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1620,770,0.475308642,882,0.544444444,1580,749,0.474050633,860,0.544303797,Y
2017-2018,48,70581,4830196,Solano,Vallejo City Unified,MIT Academy,Unified School District,High Schools (Public),Traditional,N/A,Yes,0372,Directly funded,Y,9,12,492,218,0.443089431,280,0.569105691,483,216,0.447204969,277,0.573498965,Y
2017-2018,48,70581,4838058,Solano,Vallejo City Unified,John Finney High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,174,110,0.632183908,119,0.683908046,142,89,0.626760563,96,0.676056338,Y
2017-2018,48,70581,4838504,Solano,Vallejo City Unified,Vallejo High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1700,1109,0.652352941,1225,0.720588235,1623,1059,0.652495379,1172,0.722119532,Y
2017-2018,49,70607,4930327,Sonoma,West Sonoma County Union High,Laguna High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,81,44,0.543209877,46,0.567901235,69,41,0.594202899,43,0.623188406,Y
2017-2018,49,70607,4930400,Sonoma,West Sonoma County Union High,Analy High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1145,276,0.241048035,298,0.260262009,1117,269,0.240823635,291,0.260519248,Y
2017-2018,49,70607,4931507,Sonoma,West Sonoma County Union High,El Molino High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,596,201,0.337248322,215,0.360738255,583,198,0.339622642,211,0.361921098,Y
2017-2018,49,70656,4930848,Sonoma,Cloverdale Unified,Johanna Echols-Hansen High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,19,12,0.631578947,14,0.736842105,15,9,0.6,11,0.733333333,Y
2017-2018,49,70656,4930855,Sonoma,Cloverdale Unified,Cloverdale High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,398,180,0.452261307,207,0.520100503,381,167,0.43832021,194,0.509186352,Y
2017-2018,49,70706,4930053,Sonoma,Geyserville Unified,Buena Vista High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,5,3,0.6,3,0.6,5,3,0.6,3,0.6,Y
2017-2018,49,70862,0128157,Sonoma,Petaluma Joint Union High,Gateway to College Academy,High School District,High Schools (Public),Traditional,N/A,Yes,1541,Locally funded,N,9,12,74,20,0.27027027,22,0.297297297,35,7,0.2,8,0.228571429,Y
2017-2018,49,70862,4930012,Sonoma,Petaluma Joint Union High,Casa Grande High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1706,485,0.284290739,599,0.351113716,1673,472,0.282127914,586,0.350268978,Y
2017-2018,49,70862,4930103,Sonoma,Petaluma Joint Union High,Carpe Diem High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,23,9,0.391304348,9,0.391304348,21,8,0.380952381,8,0.380952381,Y
2017-2018,49,70862,4930111,Sonoma,Petaluma Joint Union High,Sonoma Mountain High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,21,10,0.476190476,11,0.523809524,21,10,0.476190476,11,0.523809524,Y
2017-2018,49,70862,4935151,Sonoma,Petaluma Joint Union High,Petaluma High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1338,287,0.214499253,350,0.261584454,1312,279,0.212652439,341,0.259908537,Y
2017-2018,49,70862,4935862,Sonoma,Petaluma Joint Union High,San Antonio High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,78,44,0.564102564,53,0.679487179,62,35,0.564516129,43,0.693548387,Y
2017-2018,49,70920,4930160,Sonoma,Santa Rosa High,Elsie Allen High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1032,581,0.562984496,683,0.661821705,973,548,0.563206578,649,0.66700925,Y
2017-2018,49,70920,4930244,Sonoma,Santa Rosa High,Maria Carrillo High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1560,449,0.287820513,506,0.324358974,1523,437,0.286933684,492,0.323046619,Y
2017-2018,49,70920,4934154,Sonoma,Santa Rosa High,Montgomery High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1647,557,0.33819065,613,0.372191864,1606,538,0.334993773,593,0.369240349,Y
2017-2018,49,70920,4935292,Sonoma,Santa Rosa High,Piner High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1357,658,0.484893147,800,0.589535741,1297,629,0.484965305,768,0.592135698,Y
2017-2018,49,70920,4935607,Sonoma,Santa Rosa High,Ridgway High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,257,124,0.482490272,139,0.540856031,184,86,0.467391304,100,0.543478261,Y
2017-2018,49,70920,4936803,Sonoma,Santa Rosa High,Santa Rosa High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1991,692,0.347564038,799,0.401305876,1933,673,0.348163476,777,0.401965856,Y
2017-2018,49,70953,4930152,Sonoma,Sonoma Valley Unified,Creekside High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,43,27,0.627906977,31,0.720930233,39,25,0.641025641,29,0.743589744,Y
2017-2018,49,70953,4937256,Sonoma,Sonoma Valley Unified,Sonoma Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1324,638,0.481873112,725,0.547583082,1281,611,0.476971116,696,0.543325527,Y
2017-2018,49,73882,0123786,Sonoma,Cotati-Rohnert Park Unified,Credo High,Unified School District,High Schools (Public),Traditional,N/A,Yes,1281,Directly funded,Y,9,12,337,158,0.46884273,176,0.522255193,324,154,0.475308642,172,0.530864198,Y
2017-2018,49,73882,4930046,Sonoma,Cotati-Rohnert Park Unified,El Camino High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,56,31,0.553571429,32,0.571428571,51,28,0.549019608,29,0.568627451,Y
2017-2018,49,73882,4930384,Sonoma,Cotati-Rohnert Park Unified,Technology High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,N/A,No ,N/A,N/A,N,9,12,326,46,0.141104294,50,0.153374233,324,45,0.138888889,49,0.151234568,Y
2017-2018,49,73882,4935482,Sonoma,Cotati-Rohnert Park Unified,Rancho Cotate High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1493,521,0.348961822,591,0.395847287,1463,506,0.345864662,575,0.393028025,Y
2017-2018,49,75358,4930228,Sonoma,Windsor Unified,Windsor High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1707,467,0.273579379,532,0.311657879,1668,456,0.273381295,519,0.311151079,Y
2017-2018,49,75358,4930269,Sonoma,Windsor Unified,Windsor Oaks Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,59,30,0.508474576,31,0.525423729,56,28,0.5,29,0.517857143,Y
2017-2018,49,75390,4930251,Sonoma,Healdsburg Unified,Marce Becerra Academy,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,19,11,0.578947368,12,0.631578947,17,10,0.588235294,11,0.647058824,Y
2017-2018,49,75390,4932554,Sonoma,Healdsburg Unified,Healdsburg High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,552,206,0.373188406,243,0.440217391,535,198,0.370093458,233,0.435514019,Y
2017-2018,50,10504,0129023,Stanislaus,Stanislaus County Office of Education,Stanislaus Alternative Charter,County Office of Education (COE),County Community,County Community School,N/A,Yes,1607,Locally funded,N,9,12,587,395,0.672913118,436,0.742759796,0,0,0,0,0,Y
2017-2018,50,10504,5030085,Stanislaus,Stanislaus County Office of Education,John B. Allard,County Office of Education (COE),County Community,County Community School,N/A,No ,N/A,N/A,N,9,12,109,89,0.816513761,96,0.880733945,98,81,0.826530612,86,0.87755102,Y
2017-2018,50,10504,5030234,Stanislaus,Stanislaus County Office of Education,Valley Charter High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,0172,Directly funded,Y,9,12,115,58,0.504347826,63,0.547826087,108,53,0.490740741,58,0.537037037,Y
2017-2018,50,71043,0107136,Stanislaus,Ceres Unified,Whitmore Charter High,Unified School District,High Schools (Public),Traditional,N/A,Yes,0658,Locally funded,N,9,12,156,29,0.185897436,41,0.262820513,148,28,0.189189189,38,0.256756757,Y
2017-2018,50,71043,0108076,Stanislaus,Ceres Unified,Central Valley High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,9,12,1976,1481,0.749493927,1658,0.839068826,1902,1422,0.747634069,1594,0.838065195,Y
2017-2018,50,71043,5030200,Stanislaus,Ceres Unified,Argus High (Continuation),Unified School District,Continuation High Schools,Continuation School,Breakfast Provision 2,No ,N/A,N/A,N,9,12,210,171,0.814285714,178,0.847619048,158,127,0.803797468,133,0.841772152,Y
2017-2018,50,71043,5030879,Stanislaus,Ceres Unified,Ceres High,Unified School District,High Schools (Public),Traditional,Breakfast Provision 2,No ,N/A,N/A,N,9,12,1732,1257,0.725750577,1424,0.822170901,1637,1189,0.72632865,1353,0.826511912,Y
2017-2018,50,71068,5031521,Stanislaus,Denair Unified,Denair High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,261,144,0.551724138,174,0.666666667,252,139,0.551587302,169,0.670634921,Y
2017-2018,50,71175,0110593,Stanislaus,Modesto City High,James C. Enochs High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2383,838,0.351657574,1038,0.435585397,2327,823,0.353674259,1018,0.437473141,Y
2017-2018,50,71175,0121129,Stanislaus,Modesto City High,Joseph A. Gregori High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2298,927,0.403394256,1118,0.486510009,2238,900,0.402144772,1085,0.484807864,Y
2017-2018,50,71175,5030010,Stanislaus,Modesto City High,Fred C. Beyer High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1624,778,0.479064039,902,0.555418719,1572,746,0.474554707,867,0.551526718,Y
2017-2018,50,71175,5030135,Stanislaus,Modesto City High,Peter Johansen High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1831,1360,0.742763517,1497,0.817586019,1765,1313,0.743909348,1447,0.819830028,Y
2017-2018,50,71175,5031380,Stanislaus,Modesto City High,Grace M. Davis High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1829,1351,0.738655003,1467,0.802077638,1728,1274,0.737268519,1382,0.799768519,Y
2017-2018,50,71175,5031802,Stanislaus,Modesto City High,Thomas Downey High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2098,1413,0.67349857,1530,0.729265968,2041,1376,0.674179324,1492,0.731014209,Y
2017-2018,50,71175,5034905,Stanislaus,Modesto City High,Modesto High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2544,1880,0.738993711,2002,0.786949686,2464,1813,0.735795455,1932,0.784090909,Y
2017-2018,50,71175,5034913,Stanislaus,Modesto City High,Robert Elliott Alternative Education Center,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,477,383,0.80293501,396,0.830188679,380,309,0.813157895,318,0.836842105,Y
2017-2018,50,71217,5030127,Stanislaus,Patterson Joint Unified,Del Puerto High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,84,66,0.785714286,72,0.857142857,71,55,0.774647887,60,0.845070423,Y
2017-2018,50,71217,5036256,Stanislaus,Patterson Joint Unified,Patterson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1738,1099,0.632336018,1302,0.749136939,1704,1075,0.630868545,1273,0.747065728,Y
2017-2018,50,73601,5030036,Stanislaus,Newman-Crows Landing Unified,West Side Valley High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,20,11,0.55,12,0.6,16,8,0.5,8,0.5,Y
2017-2018,50,73601,5035902,Stanislaus,Newman-Crows Landing Unified,Orestimba High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,917,509,0.555070883,586,0.639040349,895,495,0.553072626,572,0.639106145,Y
2017-2018,50,75549,5032651,Stanislaus,Hughson Unified,Hughson High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,696,305,0.438218391,334,0.479885057,682,298,0.436950147,326,0.478005865,Y
2017-2018,50,75549,5032669,Stanislaus,Hughson Unified,Dickens (Billy Joe) High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,32,26,0.8125,26,0.8125,30,24,0.8,24,0.8,Y
2017-2018,50,75556,5036850,Stanislaus,Riverbank Unified,Riverbank High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,764,544,0.712041885,603,0.789267016,746,527,0.706434316,586,0.785522788,Y
2017-2018,50,75564,5031950,Stanislaus,Oakdale Joint Unified,East Stanislaus High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,79,32,0.405063291,37,0.46835443,73,26,0.356164384,31,0.424657534,Y
2017-2018,50,75564,5035654,Stanislaus,Oakdale Joint Unified,Oakdale High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1568,526,0.335459184,555,0.353954082,1520,510,0.335526316,539,0.354605263,Y
2017-2018,50,75572,0117689,Stanislaus,Waterford Unified,Sentinel High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,40,27,0.675,27,0.675,32,22,0.6875,22,0.6875,Y
2017-2018,50,75572,5030259,Stanislaus,Waterford Unified,Waterford High,Unified School District,High Schools (Public),Traditional,CEP,No ,N/A,N/A,N,9,12,585,361,0.617094017,424,0.724786325,536,331,0.617537313,391,0.729477612,Y
2017-2018,50,75739,5030283,Stanislaus,Turlock Unified,John H. Pitman High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2081,967,0.464680442,1126,0.541086016,2035,942,0.462899263,1098,0.53955774,Y
2017-2018,50,75739,5036884,Stanislaus,Turlock Unified,Roselawn High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,160,133,0.83125,142,0.8875,149,123,0.825503356,132,0.88590604,Y
2017-2018,50,75739,5037700,Stanislaus,Turlock Unified,Turlock High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,2479,1378,0.555869302,1544,0.622831787,2429,1350,0.555784273,1515,0.623713462,Y
2017-2018,51,71373,5132758,Sutter,East Nicolaus Joint Union High,East Nicolaus High,High School District,High Schools In 1 School Dist. (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,311,90,0.289389068,115,0.36977492,301,86,0.285714286,109,0.362126246,Y
2017-2018,51,71399,5130059,Sutter,Live Oak Unified,Valley Oak Continuation High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,17,11,0.647058824,12,0.705882353,15,9,0.6,10,0.666666667,Y
2017-2018,51,71399,5135256,Sutter,Live Oak Unified,Live Oak High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,540,371,0.687037037,419,0.775925926,532,364,0.684210526,412,0.77443609,Y
2017-2018,51,71449,5130042,Sutter,Sutter Union High,Butte View High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,34,18,0.529411765,20,0.588235294,33,18,0.545454545,20,0.606060606,Y
2017-2018,51,71449,5137500,Sutter,Sutter Union High,Sutter High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,755,216,0.286092715,240,0.317880795,732,206,0.281420765,229,0.31284153,Y
2017-2018,51,71464,0107722,Sutter,Yuba City Unified,River Valley High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1820,1078,0.592307692,1203,0.660989011,1765,1040,0.589235127,1162,0.658356941,Y
2017-2018,51,71464,5139001,Sutter,Yuba City Unified,Yuba City High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1854,1087,0.586299892,1204,0.649406688,1805,1061,0.587811634,1175,0.650969529,Y
2017-2018,52,71506,5231675,Tehama,Corning Union High,Centennial Continuation High,High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,27,22,0.814814815,22,0.814814815,25,20,0.8,20,0.8,Y
2017-2018,52,71506,5231709,Tehama,Corning Union High,Corning High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,947,597,0.630411827,662,0.69904963,903,571,0.632336656,634,0.702104097,Y
2017-2018,52,71571,5235106,Tehama,Los Molinos Unified,Los Molinos High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,199,116,0.582914573,132,0.663316583,187,108,0.577540107,121,0.647058824,Y
2017-2018,52,71639,5237151,Tehama,Red Bluff Joint Union High,Salisbury High (Continuation),High School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,112,87,0.776785714,94,0.839285714,102,81,0.794117647,87,0.852941176,Y
2017-2018,52,71639,5237201,Tehama,Red Bluff Joint Union High,Red Bluff High,High School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,1536,791,0.514973958,898,0.584635417,1494,771,0.516064257,874,0.585006693,Y
2017-2018,53,10538,0125633,Trinity,Trinity County Office of Education,California Heritage Youthbuild Academy II,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1809,Directly funded,N,9,12,93,68,0.731182796,68,0.731182796,60,41,0.683333333,41,0.683333333,Y
2017-2018,53,73833,5330030,Trinity,Southern Trinity Joint Unified,Mt. Lassic High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,1,1,1,1,1,1,1,1,1,1,Y
2017-2018,53,73833,5337423,Trinity,Southern Trinity Joint Unified,Southern Trinity High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,15,13,0.866666667,13,0.866666667,15,13,0.866666667,13,0.866666667,Y
2017-2018,53,75028,5330022,Trinity,Mountain Valley Unified,Valley High,Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,4,4,1,4,1,4,4,1,4,1,Y
2017-2018,53,75028,5337407,Trinity,Mountain Valley Unified,Hayfork High,Unified School District,High Schools (Public),Traditional,N/A,No ,N/A,N/A,N,9,12,76,57,0.75,62,0.815789474,73,54,0.739726027,59,0.808219178,Y
2017-2018,53,76513,5330014,Trinity,Trinity Alps Unified,Alps View High (Continuation),Unified School District,Continuation High Schools,Continuation School,N/A,No ,N/A,N/A,N,9,12,16,12,0.75,12,0.75,15,12,0.8,12,0.8,Y
2017-2018,53,76513,5337456,Trinity,Trinity Alps Unified,Trinity High,Unified School District,High Schools (Public),Traditional,Provision 2,No ,N/A,N/A,N,9,12,346,141,0.407514451,161,0.465317919,333,133,0.399399399,153,0.459459459,Y
2017-2018,54,10546,0119602,Tulare,Tulare County Office of Education,University Preparatory High,County Office of Education (COE),High Schools (Public),Traditional,N/A,Yes,1076,Locally funded,N,9,12,240,79,0.329166667,104,0.433333333,234,77,0.329059829,102,0.435897436,Y
